ACCT # ,Client,City
3302,3987 LAKE TAHOE BLVD SOUTH LAKE TA,APPLEBEE'S GRILL & BAR    
3277,2227 LAKE TAHOE BLVD SOUTH LAKE TA,TURN 3
3237,1169 SKI RUN BLVD ST SO LAKE TAHOE,THAI ON SKI RUN           
3228,14655 HWY 88         HOPE VALLEY,HOPE VALLEY CAFE          
3137,3860 SADDLE RD       SO LAKE TAHOE,HEAVENLY VALLEY SKI AREA  
3070,14841 HWY 89         MARKLEEVILLE,GROVER'S CORNER           
3054,3135 HARRISON AVE    SOUTH LAKE TA,REVIVE COFFEE & WINE      
3053,1202 SKI RUN BLVD    SO LAKE TAHOE,BLACK BEAR LODGE          
3038,2170 SOUTH AVE       SOUTH LAKE TA,BARTON MEMORIAL HOSPITAL  
3019,2229 LAKE TAHOE BLVD SOUTH LAKE TA,GRAND CENTRAL PIZZA       
3000,3668 LAKE TAHOE BLVD SOUTH LAKE TA,GOODFELLA'S PIZZA         
2903,14255 HWY 88         MARKLEEVILLE,SORENSON'S RESORT         
2885,3310 LAKE TAHOE BLVD SOUTH LAKE TA,BEAR BEACH CAFE           
2690,2108 LAKE TAHOE BLVD SOUTH LAKE TA,MY THAI CUISINE           
2591,536 EMERALD BAY RD   SO LAKE TAHOE,EVAN'S AMERICAN GOURMET   
2576,1207 EMERALD BAY RD  SO LAKE TAHOE,ERNIE'S COFFEE SHOP       
2552,515 EMERALD BAY RD   SOUTH LAKE TA,FIRESIDE LODGE            
2547,4130 LAKE TAHOE BLVD SO LAKE TAHOE,LAKE TAHOE RESORT HOTEL   
2493,2660 LAKE TAHOE BLVD SOUTH LAKE TA,JALISCO GRILL             
2425,9900 ECHO LAKES RD   ECHO LAKE,ECHO CHALET RESORT        
2346,2543 LAKE TAHOE BLVD SOUTH LAKE TA,SCUSA ITALIAN RISTORANTE  
2296,1056 EMERALD BAY RD  SO LAKE TAHOE,K MART STORE #9153 CABANA
2284,2870 LAKE TAHOE BLVD SO LAKE TAHOE,DENNY'S                     
2249,3330 LAKE TAHOE BLVD SOUTH LAKE TA,FRESHIE'S RESTAURANT        
2141,1400 KIRKWOOD MEADOW KIRKWOOD,BUB'S PUB                   
2085,3599 LAKE TAHOE BLVD SOUTH LAKE TA,PIZZA HUT                   
2052,1001 HEAVENLY VILLAG SOUTH LAKE TA,CALIFORNIA BURGER           
1983,3819 SADDLE RD       SOUTH LAKE TA,HIMMEL HAUS                 
1981,3141 US HWY 50 STE C SOUTH LAKE TA,EL FRESCO MEXICAN BISTRO &  
1782,3469 LAKE TAHOE BLVD SO LAKE TAHOE,NIKKI'S CHAAT CAFE          
1777,HWY 88 1/4 MILE EAST KIRKWOOD,KIRKWOOD SERVICE CENTER     
1759,765 EMERALD BAY RD   SOUTH LAKE TA,MARGARITA'S MEXICAN RESTAURA
1737,1900 JAMESON BEACH R SO LAKE TAHOE,CAMP RICHARDSON GENL STORE  
1664,1169 SKI RUN BLVD #5 SOUTH LAKE TA,CAFE FIORE                  
1570,4118 LAKE TAHOE BLVD SOUTH LAKE TA,STATELINE BREWERY           
1505,3200 HWY 50 #7       MEYERS,"DIVIDED SKY, THE            "
1498,2435 VENICE DR #433  SO LAKE TAHOE,SAFARI ROSE CRUISES         
1437,3411 LAKE TAHOE BLVD SOUTH LAKE TA,BEACH RETREAT & LODGE @ TAHO
1361,1900 JAMESON BEACH R SOUTH LAKE TA,"BEACON RESTAURANT, THE      "
1151,2748 LAKE TAHOE BLVD SOUTH LAKE TA,AMERICAN LEGION POST #795
1137,1168 EMERALD BAY RD  SOUTH LAKE TA,LAKE TAHOE PIZZA CO         
1086,3097 LAKE TAHOE BLVD SOUTH LAKE TA,GREEN TAHOE                 
1085,1001 HEAVENLY VILLAG SOUTH LAKE TA,AZUL - LATIN KITCHEN        
1082,1950 LAKE TAHOE BLVD SOUTH LAKE TA,GREEN TAHOE                 
1074,HWY 50 1M N OF       TAHOE PARADIS,LAKE TAHOE GOLF COURSE 
1066,4118 LAKE TAHOE BLVD SOUTH LAKE TA,CREATIVE CREPES        
1040,3651 LAKE TAHOE BLVD SOUTH LAKE TA,K B TAHOE CHEVRON      
,TOTAL ACCOUNTS Buying:    25,TOTAL ACCOUNTS:    144
,,
,,
,,
,,
,TOTAL ACCOUNTS ON REPORT:    397,
